STATE/UT,DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Total crimes against SCs
JAMMU & KASHMIR,GANDERBAL,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,HANDWARA,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,JAMMU,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,KARGIL,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,KATHUA,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,KULGAM,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,KUPWARA,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,LEH,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,POONCH,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,PULWAMA,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,RAILWAYS,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,RAJOURI,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,RAMBAN,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,REASI,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,SRINAGAR,2007,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,UDHAMPUR,2007,0,0,0,0,0,0,0,0,1,0,1
JAMMU & KASHMIR,TOTAL,2007,0,0,0,0,0,0,0,0,1,0,1
JHARKHAND,BOKARO,2007,0,0,0,0,0,0,0,0,0,38,38
JHARKHAND,CHAIBASA,2007,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,CHATRA,2007,0,0,0,0,0,0,0,11,0,0,11
JHARKHAND,DEOGHAR,2007,9,0,0,0,0,0,0,26,0,17,52
JHARKHAND,DHANBAD,2007,0,0,0,0,0,0,4,20,0,17,41
JHARKHAND,DHANBAD RLY.,2007,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,DUMKA,2007,0,3,1,0,0,0,13,21,0,4,42
JHARKHAND,GARHWA,2007,0,0,0,0,0,0,0,34,0,0,34
JHARKHAND,GIRIDIH,2007,0,0,0,0,0,2,12,15,0,15,44
JHARKHAND,GODDA,2007,0,0,0,0,0,0,0,18,0,0,18
JHARKHAND,GUMLA,2007,0,3,1,0,0,0,0,0,0,4,8
JHARKHAND,HAZARIBAGH,2007,0,1,0,0,0,0,3,69,0,29,102
JHARKHAND,JAMSHEDPUR,2007,0,0,0,0,0,0,0,3,0,9,12
JHARKHAND,JAMSHEDPUR RLY.,2007,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,JAMTARA,2007,0,1,0,0,0,0,0,2,0,3,6
JHARKHAND,KHUNTI,2007,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,KODERMA,2007,3,0,0,0,0,0,6,13,0,10,32
JHARKHAND,LATEHAR,2007,0,0,0,0,0,0,2,0,0,7,9
JHARKHAND,LOHARDAGGA,2007,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,PAKUR,2007,0,0,0,0,0,0,4,2,0,0,6
JHARKHAND,PALAMU,2007,1,3,0,0,0,0,17,24,0,2,47
JHARKHAND,RAMGARH,2007,0,0,0,0,0,0,0,0,0,1,1
JHARKHAND,RANCHI,2007,0,0,1,0,0,0,5,0,0,0,6
JHARKHAND,SAHEBGANJ,2007,0,1,1,0,0,0,0,9,0,7,18
JHARKHAND,SARAIKELA,2007,0,0,0,0,0,0,0,0,0,4,4
JHARKHAND,SIMDEGA,2007,0,0,0,0,0,0,0,7,0,0,7
JHARKHAND,TOTAL,2007,13,12,4,0,0,2,66,274,0,167,538
KARNATAKA,BAGALKOT,2007,2,0,1,0,0,0,9,24,0,14,50
KARNATAKA,BANGALORE COMMR.,2007,0,0,0,0,0,0,2,77,0,0,79
KARNATAKA,BANGALORE RURAL,2007,0,0,0,0,0,0,0,88,0,88,176
KARNATAKA,BELGAUM,2007,2,1,0,0,0,0,0,54,0,0,57
KARNATAKA,BELLARY,2007,1,0,0,0,0,0,0,40,8,39,88
KARNATAKA,BIDAR,2007,1,2,0,1,0,0,14,31,0,16,65
KARNATAKA,BIJAPUR,2007,1,2,1,0,0,1,44,69,0,18,136
KARNATAKA,CHAMARAJNAGAR,2007,0,0,0,0,0,0,0,13,0,13,26
KARNATAKA,CHICKMAGALUR,2007,0,0,0,0,0,0,0,41,0,42,83
KARNATAKA,CHITRADURGA,2007,0,1,1,0,0,0,10,18,0,7,37
KARNATAKA,DAKSHIN KANNADA,2007,0,1,0,0,0,0,0,16,0,0,17
KARNATAKA,DAVANAGERE,2007,0,0,0,0,0,0,1,17,0,16,34
KARNATAKA,DHARWAD COMMR.,2007,1,1,0,0,0,0,0,14,0,14,30
KARNATAKA,DHARWAD RURAL,2007,0,0,0,0,0,0,0,10,0,10,20
KARNATAKA,GADAG,2007,0,0,0,0,0,0,0,6,0,6,12
KARNATAKA,GULBARGA,2007,5,1,1,0,0,0,61,178,4,120,370
KARNATAKA,HASSAN,2007,0,0,0,0,0,0,0,32,0,32,64
KARNATAKA,HAVERI,2007,0,0,0,0,0,0,0,11,0,11,22
KARNATAKA,K.G.F.,2007,0,0,0,0,0,0,0,10,0,0,10
KARNATAKA,KODAGU,2007,1,1,0,0,0,0,11,0,0,4,17
KARNATAKA,KOLAR,2007,0,2,0,0,0,0,0,81,0,81,164
KARNATAKA,KOPPAL,2007,0,0,0,0,0,0,0,11,0,0,11
KARNATAKA,MANDYA,2007,0,0,0,0,0,0,0,29,0,29,58
KARNATAKA,MYSORE COMMR.,2007,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,MYSORE RURAL,2007,0,0,0,0,0,0,0,25,0,0,25
KARNATAKA,RAICHUR,2007,1,8,0,0,0,0,0,22,3,0,34
KARNATAKA,RAILWAYS,2007,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,SHIMOGA,2007,0,0,0,0,0,0,13,0,0,7,20
KARNATAKA,TUMKUR,2007,0,0,0,0,0,0,0,61,2,0,63
KARNATAKA,UDUPI,2007,0,0,0,0,0,0,0,31,0,31,62
KARNATAKA,UTTAR KANNADA,2007,0,0,0,0,0,0,0,7,0,7,14
KARNATAKA,TOTAL,2007,15,20,4,1,0,1,165,1016,17,605,1844
KERALA,ALAPUZHA,2007,1,5,0,0,1,0,10,4,0,10,31
KERALA,CBCID,2007,0,0,0,0,0,0,0,0,0,0,0
KERALA,ERNAKULAM COMMR.,2007,0,2,0,0,0,0,3,3,0,5,13
KERALA,ERNAKULAM RURAL,2007,0,4,0,0,0,0,15,2,0,7,28
KERALA,IDUKKI,2007,0,3,0,0,0,1,7,0,0,12,23
KERALA,KANNUR,2007,0,0,0,0,0,0,17,3,0,4,24
KERALA,KASARGOD,2007,0,3,0,0,0,0,3,2,0,8,16
KERALA,KOLLAM,2007,1,13,0,0,0,0,29,3,0,11,57
KERALA,KOTTAYAM,2007,0,5,1,0,0,0,10,4,0,7,27
KERALA,KOZHIKODE COMMR.,2007,0,2,0,0,0,0,2,2,0,8,14
KERALA,KOZHIKODE RURAL,2007,0,3,0,0,0,0,6,0,0,10,19
KERALA,MALAPPURAM,2007,0,5,0,0,0,0,5,2,0,20,32
KERALA,PALAKKAD,2007,1,3,0,1,0,0,14,0,0,12,31
KERALA,PATHANAMTHITTA,2007,0,5,0,0,0,0,24,1,0,8,38
KERALA,RAILWAYS,2007,0,0,0,0,0,0,0,0,0,0,0
KERALA,THRISSUR,2007,0,9,0,0,0,0,5,8,0,24,46
KERALA,TRIVANDRUM COMMR.,2007,0,2,0,0,0,0,4,2,0,12,20
KERALA,TRIVANDRUM RURAL,2007,0,2,0,0,1,0,24,5,0,8,40
KERALA,WAYANADU,2007,0,3,0,0,1,0,2,1,0,11,18
KERALA,TOTAL,2007,3,69,1,1,3,1,180,42,0,177,477
MADHYA PRADESH,ANUPPUR,2007,1,2,1,0,0,1,1,0,0,10,16
MADHYA PRADESH,ASHOK NAGAR,2007,2,15,0,1,0,2,5,0,0,67,92
MADHYA PRADESH,BALAGHAT,2007,3,2,0,0,0,0,10,0,0,11,26
MADHYA PRADESH,BARWANI,2007,2,1,2,0,0,0,19,0,0,13,37
MADHYA PRADESH,BETUL,2007,0,8,0,0,1,0,4,0,0,47,60
MADHYA PRADESH,BHIND,2007,4,7,1,0,0,1,9,0,0,48,70
MADHYA PRADESH,BHOPAL,2007,2,16,0,0,0,0,9,63,0,36,126
MADHYA PRADESH,BHOPAL RLY.,2007,0,0,0,0,0,0,0,2,0,2,4
MADHYA PRADESH,BURHANPUR,2007,1,0,0,0,0,0,0,0,0,12,13
MADHYA PRADESH,CHHATARPUR,2007,5,10,0,0,0,2,3,0,0,225,245
MADHYA PRADESH,CHHINDWARA,2007,2,6,1,0,0,0,3,0,0,25,37
MADHYA PRADESH,DAMOH,2007,3,3,0,0,0,1,26,62,0,29,124
MADHYA PRADESH,DATIYA,2007,6,8,0,0,0,1,8,0,0,65,88
MADHYA PRADESH,DEWAS,2007,2,13,1,0,0,0,25,0,0,103,144
MADHYA PRADESH,DHAR,2007,2,1,1,0,0,0,2,0,0,21,27
MADHYA PRADESH,DINDORI,2007,0,1,0,0,0,0,1,1,0,1,4
MADHYA PRADESH,GUNA,2007,0,14,0,0,0,0,44,0,0,83,141
MADHYA PRADESH,GWALIOR,2007,3,12,3,0,0,1,25,2,0,111,157
MADHYA PRADESH,HARDA,2007,0,3,1,0,0,0,16,0,0,12,32
MADHYA PRADESH,HOSHANGABAD,2007,1,6,1,0,0,0,42,0,0,2,52
MADHYA PRADESH,INDORE,2007,0,1,0,0,0,0,2,0,0,25,28
MADHYA PRADESH,INDORE RLY.,2007,0,0,0,0,0,0,0,0,0,1,1
MADHYA PRADESH,JABALPUR,2007,3,5,0,0,1,0,22,57,0,7,95
MADHYA PRADESH,JABALPUR RLY.,2007,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,JHABUA,2007,0,0,0,0,0,0,2,0,0,0,2
